season_year,team_name,record_type,rank_no,avg,era,g,pa,ab,r,h,double_hit,triple_hit,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,ph_ba,w,l,sv,hld,wpct,ip,er,whip,cg,sho,qs,bsv,tbf,np,wp,bk,e,pko,po,a,dp,fpct,pb,sb,cs,cs_rate,sba,sb_rate,oob
2021,롯데,team_hitter,1,0.278,,144,5726,5009,727,1393,266,10,107,2000,697,38,46,579,19,54,969,114,0.399,0.356,0.755,144,0.286,0.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,두산,team_hitter,2,0.268,,144,5645,4900,738,1314,235,17,110,1913,698,46,53,560,13,86,943,137,0.39,0.35,0.74,143,0.284,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,삼성,team_hitter,3,0.267,,144,5552,4836,712,1292,204,18,133,1931,669,48,68,545,21,55,902,98,0.399,0.344,0.743,144,0.269,0.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,KT,team_hitter,4,0.265,,144,5627,4810,719,1276,219,11,106,1835,673,69,44,645,27,58,1047,105,0.381,0.356,0.737,142,0.271,0.227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,SSG,team_hitter,5,0.261,,144,5736,4899,755,1278,204,13,185,2063,712,55,52,637,23,93,1056,106,0.421,0.353,0.774,143,0.261,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,NC,team_hitter,6,0.261,,144,5532,4808,702,1254,203,17,170,2001,670,59,43,511,14,111,1093,94,0.416,0.343,0.759,143,0.26,0.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,키움,team_hitter,7,0.259,,144,5653,4874,722,1262,244,28,91,1835,671,35,56,595,17,93,1053,93,0.376,0.347,0.723,143,0.277,0.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,LG,team_hitter,8,0.25,,144,5533,4750,654,1188,210,11,110,1750,621,52,45,592,16,94,926,102,0.368,0.342,0.71,143,0.252,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,KIA,team_hitter,9,0.248,,144,5577,4831,568,1198,183,21,66,1621,546,41,37,595,16,73,921,119,0.336,0.337,0.673,143,0.263,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,한화,team_hitter,10,0.237,,144,5495,4685,599,1111,213,17,80,1598,554,54,49,633,14,74,1286,110,0.341,0.334,0.675,143,0.248,0.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
